latitude,longitude,time
+43.44383,+6.76728,1254493883
+43.44383,+6.76728,1254560773
+43.48308,+1.57029,1254562354
+43.49010,+1.56436,1254562414
+43.50372,+1.55787,1254562475
+43.50574,+1.55672,1254562533
+43.50610,+1.55612,1254562593
+43.50619,+1.55616,1254564153
+43.50603,+1.55655,1254564213
+43.50594,+1.55612,1254564273
+43.50641,+1.55604,1254564394
+43.50619,+1.55607,1254564454
+43.50593,+1.55691,1254564514
+43.50594,+1.55691,1254564574
+43.50516,+1.55567,1254564634
+43.49547,+1.56262,1254564694
+43.48887,+1.56858,1254564754
+43.48279,+1.57219,1254564814
+43.47080,+1.57253,1254564874
+43.46336,+1.56978,1254564934
+43.46011,+1.57076,1254564994
+43.45834,+1.57160,1254565054
+43.45823,+1.57133,1254565114
+43.45851,+1.57185,1254565235
+43.45856,+1.57187,1254565295
+43.45861,+1.57183,1254565355
+43.45854,+1.57162,1254565415
+43.45822,+1.57129,1254565475
+43.45785,+1.57039,1254565533
+43.45878,+1.57170,1254565653
+43.45887,+1.57131,1254565713
+43.45866,+1.57143,1254565773
+43.45859,+1.57157,1254565833
+43.45880,+1.57183,1254565893
+43.45831,+1.57179,1254565953
+43.45835,+1.57184,1254566013
+43.45840,+1.57176,1254566073
+43.45842,+1.57173,1254566133
+43.45844,+1.57176,1254566193
+43.45846,+1.57165,1254566253
+43.45853,+1.57174,1254566313
+43.45841,+1.57168,1254566373
+43.45849,+1.57182,1254566433
+43.45847,+1.57176,1254566493
+43.45848,+1.57180,1254566553
+43.45838,+1.57175,1254566613
+43.45843,+1.57171,1254566673
+43.45836,+1.57159,1254566733
+43.45846,+1.57146,1254566793
+43.45844,+1.57169,1254566853
+43.45858,+1.57155,1254566913
+43.45849,+1.57175,1254566973
+43.45855,+1.57177,1254567033
+43.45877,+1.57168,1254567093
+43.45848,+1.57117,1254567213
+43.45844,+1.57215,1254567273
+43.45892,+1.57201,1254567393
+43.45863,+1.57175,1254567453
+43.45868,+1.57219,1254567513
+43.45854,+1.57203,1254567573
+43.45855,+1.57178,1254567633
+43.45861,+1.57173,1254567693
+43.45860,+1.57188,1254567753
+43.45822,+1.57219,1254567813
+43.45853,+1.57192,1254567873
+43.45847,+1.57196,1254567934
+43.45838,+1.57183,1254567994
+43.45878,+1.57193,1254570454
+43.45866,+1.57184,1254570514
+43.45864,+1.57182,1254570574
+43.45850,+1.57167,1254570634
+43.45847,+1.57184,1254570694
+43.45841,+1.57175,1254570753
+43.45842,+1.57159,1254570813
+43.45858,+1.57191,1254570873
+43.45852,+1.57178,1254570933
+43.45845,+1.57169,1254570993
+43.45853,+1.57182,1254571053
+43.45874,+1.57189,1254571113
+43.45877,+1.57203,1254571173
+43.45883,+1.57194,1254571233
+43.45867,+1.57192,1254571413
+43.45850,+1.57174,1254571473
+43.45839,+1.57177,1254571533
+43.45841,+1.57168,1254571593
+43.45844,+1.57171,1254571713
+43.45829,+1.57158,1254571773
+43.45868,+1.57181,1254571833
+43.45849,+1.57175,1254571893
+43.45865,+1.57200,1254572013
+43.45850,+1.57176,1254572073
+43.45852,+1.57167,1254572193
+43.45864,+1.57180,1254572253
+43.45852,+1.57173,1254572313
+43.45857,+1.57184,1254572373
+43.45850,+1.57179,1254572433
+43.45846,+1.57175,1254572493
+43.45865,+1.57168,1254572553
+43.45861,+1.57161,1254572613
+43.45847,+1.57160,1254572673
+43.45860,+1.57180,1254572733
+43.45869,+1.57175,1254572793
+43.45869,+1.57172,1254572853
+43.45847,+1.57173,1254572913
+43.45858,+1.57175,1254572973
+43.45855,+1.57177,1254573033
+43.45861,+1.57175,1254573093
+43.45883,+1.57188,1254573153
+43.45871,+1.57205,1254573213
+43.45859,+1.57181,1254573273
+43.45873,+1.57145,1254573333
+43.45855,+1.57169,1254573393
+43.45856,+1.57178,1254573453
+43.45855,+1.57218,1254573513
+43.45881,+1.57191,1254573573
+43.45854,+1.57181,1254573634
+43.45855,+1.57178,1254573694
+43.45848,+1.57183,1254573754
+43.45855,+1.57181,1254573814
+43.45860,+1.57150,1254573874
+43.45859,+1.57156,1254573994
+43.45859,+1.57160,1254574054
+43.45864,+1.57143,1254574114
+43.45853,+1.57168,1254574174
+43.45857,+1.57148,1254574230
+43.45854,+1.57155,1254574290
+43.45831,+1.57194,1254574350
+43.45844,+1.57160,1254574470
+43.45847,+1.57180,1254574590
+43.45883,+1.57150,1254574710
+43.45852,+1.57178,1254574770
+43.45843,+1.57175,1254574830
+43.45874,+1.57138,1254574950
+43.45866,+1.57158,1254575010
+43.45861,+1.57150,1254575130
+43.45865,+1.57150,1254575190
+43.45872,+1.57163,1254575250
+43.45863,+1.57167,1254575310
+43.45877,+1.57129,1254575370
+43.45887,+1.57155,1254575430
+43.45874,+1.57152,1254575490
+43.45847,+1.57156,1254575550
+43.45843,+1.57179,1254575670
+43.45846,+1.57179,1254575730
+43.45845,+1.57175,1254575790
+43.45837,+1.57180,1254575850
+43.45838,+1.57179,1254575909
+43.45846,+1.57178,1254575969
+43.45844,+1.57170,1254576029
+43.45829,+1.57168,1254576089
+43.45838,+1.57168,1254576149
+43.45792,+1.57283,1254576269
+43.45840,+1.57218,1254576329
+43.45842,+1.57188,1254576389
+43.45836,+1.57194,1254576449
+43.45854,+1.57188,1254576509
+43.45861,+1.57177,1254576569
+43.45810,+1.57195,1254576689
+43.45833,+1.57191,1254576749
+43.45861,+1.57174,1254576809
+43.45833,+1.57201,1254576869
+43.45855,+1.57177,1254576929
+43.45834,+1.57185,1254576989
+43.45833,+1.57178,1254577049
+43.45842,+1.57180,1254577109
+43.45849,+1.57181,1254577169
+43.45860,+1.57174,1254577229
+43.45865,+1.57169,1254577469
+43.45829,+1.57188,1254577529
+43.45829,+1.57185,1254577589
+43.45824,+1.57188,1254577649
+43.45824,+1.57217,1254585149
+43.45834,+1.57185,1254586349
+43.45813,+1.57198,1254586409
+43.45841,+1.57182,1254586469
+43.45873,+1.57145,1254586895
+43.45877,+1.57164,1254586955
+43.45906,+1.57160,1254587014
+43.45924,+1.57215,1254587075
+43.45932,+1.57253,1254587135
+43.45966,+1.57228,1254587195
+43.45993,+1.57191,1254587255
+43.46029,+1.57182,1254587315
+43.46045,+1.57164,1254587375
+43.46068,+1.57153,1254587432
+43.46104,+1.57119,1254587492
+43.46152,+1.57100,1254587552
+43.46205,+1.57090,1254587734
+43.46223,+1.57052,1254587794
+43.46237,+1.57020,1254587854
+43.46256,+1.57012,1254587914
+43.46276,+1.57051,1254587974
+43.46293,+1.57042,1254588032
+43.46316,+1.57026,1254588092
+43.46332,+1.57025,1254588152
+43.46320,+1.57051,1254588212
+43.46316,+1.57065,1254588272
+43.46295,+1.57087,1254588332
+43.46277,+1.57103,1254588392
+43.46257,+1.57129,1254588452
+43.46228,+1.57145,1254588512
+43.46204,+1.57155,1254588574
+43.46185,+1.57168,1254588632
+43.46197,+1.57164,1254588692
+43.46190,+1.57161,1254588752
+43.46192,+1.57154,1254588812
+43.46196,+1.57155,1254588872
+43.46188,+1.57163,1254588932
+43.46191,+1.57162,1254588992
+43.46192,+1.57167,1254589052
+43.46189,+1.57165,1254589112
+43.46172,+1.57150,1254589172
+43.46179,+1.57160,1254589233
+43.46184,+1.57179,1254589353
+43.46192,+1.57160,1254589413
+43.46192,+1.57162,1254589474
+43.46208,+1.57168,1254589534
+43.46195,+1.57166,1254589594
+43.46191,+1.57158,1254589654
+43.46193,+1.57163,1254589714
+43.46177,+1.57158,1254589774
+43.46185,+1.57158,1254589833
+43.46185,+1.57157,1254589893
+43.46185,+1.57159,1254589953
+43.46183,+1.57158,1254590013
+43.46183,+1.57158,1254590073
+43.46185,+1.57160,1254590133
+43.46186,+1.57157,1254590193
+43.46191,+1.57160,1254590253
+43.46192,+1.57161,1254590313
+43.46192,+1.57161,1254590373
+43.46195,+1.57162,1254590433
+43.46194,+1.57163,1254590493
+43.46190,+1.57165,1254590553
+43.46188,+1.57167,1254590613
+43.46200,+1.57151,1254590673
+43.46203,+1.57140,1254590734
+43.46228,+1.57130,1254590794
+43.46250,+1.57109,1254590853
+43.46272,+1.57089,1254590913
+43.46302,+1.57076,1254590973
+43.46311,+1.57050,1254591033
+43.46337,+1.57046,1254591095
+43.46326,+1.57025,1254591155
+43.46300,+1.57040,1254591215
+43.46270,+1.57042,1254591275
+43.46255,+1.57031,1254591333
+43.46218,+1.57035,1254591393
+43.46211,+1.57076,1254591453
+43.46165,+1.57095,1254591513
+43.46161,+1.57092,1254591573
+43.46133,+1.57120,1254591633
+43.46129,+1.57128,1254591697
+43.46106,+1.57150,1254591756
+43.46099,+1.57154,1254591816
+43.46089,+1.57164,1254591877
+43.46084,+1.57161,1254591936
+43.46084,+1.57237,1254591996
+43.46030,+1.57208,1254592056
+43.46015,+1.57217,1254592116
+43.46018,+1.57270,1254592177
+43.45967,+1.57232,1254592238
+43.45938,+1.57236,1254592298
+43.45905,+1.57199,1254592358
+43.45888,+1.57182,1254592418
+43.45863,+1.57176,1254592477
+43.45870,+1.57211,1254592538
+43.45820,+1.57193,1254592598
+43.45842,+1.57197,1254592658
+43.45842,+1.57159,1254592718
+43.45840,+1.57174,1254592778
+43.45852,+1.57169,1254592838
+43.45853,+1.57172,1254592898
+43.45835,+1.57168,1254592958
+43.45830,+1.57203,1254593018
+43.45815,+1.57267,1254593138
+43.45803,+1.57299,1254593198
+43.45775,+1.57322,1254593258
+43.45766,+1.57345,1254593318
+43.45772,+1.57362,1254593378
+43.45768,+1.57348,1254593436
+43.45767,+1.57353,1254593496
+43.45761,+1.57351,1254593556
+43.45761,+1.57353,1254593616
+43.45768,+1.57358,1254593676
+43.45768,+1.57360,1254593736
+43.45762,+1.57357,1254593795
+43.45765,+1.57352,1254593855
+43.45766,+1.57352,1254593915
+43.45759,+1.57354,1254593975
+43.45771,+1.57362,1254594035
+43.45772,+1.57359,1254594095
+43.45768,+1.57355,1254594155
+43.45768,+1.57354,1254594215
+43.45767,+1.57354,1254594277
+43.45767,+1.57352,1254594337
+43.45767,+1.57352,1254594397
+43.45762,+1.57351,1254594457
+43.45764,+1.57350,1254594517
+43.45764,+1.57351,1254594577
+43.45765,+1.57354,1254594633
+43.45766,+1.57352,1254594693
+43.45764,+1.57352,1254594753
+43.45768,+1.57353,1254594813
+43.45770,+1.57352,1254594873
+43.45771,+1.57352,1254594933
+43.45771,+1.57353,1254594993
+43.45767,+1.57352,1254595053
+43.45769,+1.57343,1254595113
+43.45783,+1.57332,1254595173
+43.45797,+1.57301,1254595233
+43.45804,+1.57273,1254595293
+43.45774,+1.57224,1254595353
+43.45805,+1.57177,1254595413
+43.45755,+1.57146,1254595777
+43.45746,+1.57174,1254595835
+43.45821,+1.57181,1254595895
+43.45837,+1.57171,1254596015
+43.45914,+1.57182,1254596135
+43.45797,+1.57178,1254596315
+43.45877,+1.57188,1254597756
+43.45849,+1.57123,1254597876
+43.45849,+1.57123,1254653354
+43.45774,+1.57421,1254654119
+43.45793,+1.57421,1254654179
+43.45810,+1.57416,1254654237
+43.45807,+1.57457,1254654297
+43.45827,+1.57469,1254654357
+43.45811,+1.57464,1254654417
+43.45817,+1.57456,1254654476
+43.45808,+1.57452,1254654536
+43.45814,+1.57467,1254654596
+43.45805,+1.57463,1254654656
+43.45812,+1.57466,1254654716
+43.45812,+1.57468,1254654776
+43.45810,+1.57462,1254654836
+43.45815,+1.57459,1254654896
+43.45850,+1.57490,1254654956
+43.45823,+1.57464,1254655016
+43.45832,+1.57459,1254655076
+43.45814,+1.57461,1254655137
+43.45815,+1.57459,1254655197
+43.45793,+1.57451,1254655257
+43.45786,+1.57454,1254655317
+43.45791,+1.57435,1254655377
+43.45803,+1.57443,1254655439
+43.45850,+1.57480,1254655499
+43.45833,+1.57450,1254655558
+43.45810,+1.57446,1254655618
+43.45789,+1.57429,1254655678
+43.45798,+1.57397,1254655736
+43.45761,+1.57351,1254655796
+43.45766,+1.57322,1254655856
+43.45797,+1.57294,1254655916
+43.45840,+1.57276,1254655976
+43.45827,+1.57221,1254656039
+43.45834,+1.57174,1254656099
+43.45861,+1.57146,1254656159
+43.45849,+1.57184,1254656219
+43.45853,+1.57168,1254656279
+43.45853,+1.57166,1254656937
+43.45858,+1.57214,1254658197
+43.45827,+1.57226,1254658257
+43.45829,+1.57190,1254658377
+43.45813,+1.57207,1254658497
+43.45852,+1.57166,1254658617
+43.45856,+1.57184,1254658677
+43.45836,+1.57160,1254658737
+43.45849,+1.57163,1254658797
+43.45833,+1.57142,1254658856
+43.45821,+1.57300,1254659036
+43.45823,+1.57191,1254659156
+43.45821,+1.57166,1254659216
+43.45830,+1.57194,1254659276
+43.45830,+1.57193,1254659336
+43.45808,+1.57221,1254659396
+43.45803,+1.57216,1254659456
+43.45816,+1.57206,1254659516
+43.45816,+1.57158,1254659636
+43.45817,+1.57179,1254659696
+43.45803,+1.57179,1254659756
+43.45817,+1.57183,1254659876
+43.45818,+1.57170,1254660056
+43.45839,+1.57180,1254660116
+43.45822,+1.57191,1254660356
+43.45816,+1.57191,1254660416
+43.45802,+1.57184,1254660476
+43.45821,+1.57180,1254660536
+43.45863,+1.57132,1254660596
+43.45832,+1.57145,1254660656
+43.45844,+1.57197,1254660716
+43.45841,+1.57191,1254660776
+43.45846,+1.57201,1254660837
+43.45869,+1.57220,1254660897
+43.45838,+1.57189,1254661017
+43.45839,+1.57192,1254661077
+43.45779,+1.57366,1254678055
+43.45770,+1.57355,1254678115
+43.45774,+1.57339,1254678175
+43.45773,+1.57377,1254678235
+43.45774,+1.57354,1254678295
+43.45760,+1.57333,1254678355
+43.45772,+1.57346,1254678415
+43.45803,+1.57384,1254678475
+43.45868,+1.57401,1254678535
+43.45972,+1.57458,1254678598
+43.45801,+1.57366,1254678718
+43.45787,+1.57363,1254678778
+43.45768,+1.57357,1254678836
+43.45773,+1.57359,1254678896
+43.45771,+1.57340,1254678956
+43.45769,+1.57355,1254679016
+43.45776,+1.57358,1254679079
+43.45783,+1.57362,1254679137
+43.45777,+1.57359,1254679197
+43.45770,+1.57365,1254679257
+43.45764,+1.57338,1254679317
+43.45747,+1.57351,1254679377
+43.45723,+1.57343,1254679437
+43.45751,+1.57348,1254679497
+43.45776,+1.57345,1254679557
+43.45771,+1.57346,1254679617
+43.45764,+1.57342,1254679677
+43.45728,+1.57343,1254679737
+43.45809,+1.57392,1254679797
+43.45769,+1.57358,1254679857
+43.45765,+1.57356,1254679917
+43.45775,+1.57356,1254679977
+43.45776,+1.57356,1254680037
+43.45774,+1.57363,1254680097
+43.45776,+1.57354,1254680157
+43.45758,+1.57348,1254680217
+43.45768,+1.57350,1254680277
+43.45762,+1.57349,1254680337
+43.45758,+1.57371,1254680397
+43.45771,+1.57351,1254680457
+43.45791,+1.57362,1254680517
+43.45772,+1.57343,1254680577
+43.45778,+1.57353,1254680637
+43.45781,+1.57364,1254680697
+43.45783,+1.57379,1254680757
+43.45774,+1.57326,1254680816
+43.45768,+1.57331,1254680876
+43.45786,+1.57291,1254680937
+43.45799,+1.57303,1254680997
+43.45813,+1.57263,1254681057
+43.45801,+1.57230,1254681117
+43.45812,+1.57226,1254681177
+43.45836,+1.57203,1254681235
+43.45856,+1.57212,1254681295
+43.45893,+1.57160,1254682735
+43.45775,+1.57168,1254682915
+43.45862,+1.57227,1254683395
+43.45887,+1.57183,1254683455
+43.45868,+1.57166,1254683515
+43.45877,+1.57176,1254683575
+43.45875,+1.57190,1254683635
+43.45867,+1.57191,1254683695
+43.45856,+1.57182,1254683755
+43.45788,+1.57158,1254683875
+43.45876,+1.57190,1254684175
+43.45917,+1.57205,1254684235
+43.45893,+1.57175,1254684295
+43.45867,+1.57169,1254684355
+43.45858,+1.57175,1254684415
+43.45820,+1.57181,1254684475
+43.45828,+1.57194,1254684535
+43.45856,+1.57201,1254685075
+43.45874,+1.57177,1254685196
+43.45877,+1.57181,1254685256
+43.45869,+1.57186,1254685556
+43.45854,+1.57189,1254685616
+43.45835,+1.57212,1254685796
+43.45823,+1.57187,1254685856
+43.45837,+1.57179,1254685916
+43.45840,+1.57166,1254685976
+43.45834,+1.57180,1254686036
+43.45834,+1.57180,1263391387
+43.45834,+1.57180,1263482426
+43.49038,+1.56715,1263490681
+43.47560,+1.57584,1263490805
+43.46538,+1.57208,1263490865
+43.45776,+1.57310,1263493382
+43.45804,+1.57247,1263493442
+43.45811,+1.57187,1263493502
+43.45840,+1.57184,1263493563
+43.45852,+1.57189,1263494042
+43.45887,+1.57166,1263494102
+43.45815,+1.57176,1263494882
+43.45831,+1.57157,1263496442
+43.45831,+1.57157,1263582083
+43.45831,+1.57157,1263665532
+43.45831,+1.57157,1263746216
+43.45829,+1.57355,1263747366
+43.45785,+1.57339,1263747426
+43.45764,+1.57365,1263747486
+43.45765,+1.57360,1263747543
+43.45775,+1.57350,1263747603
+43.45782,+1.57347,1263747664
+43.45774,+1.57354,1263747723
+43.45767,+1.57371,1263747783
+43.45767,+1.57448,1263747903
+43.45818,+1.57438,1263747964
+43.45821,+1.57461,1263748024
+43.45843,+1.57464,1263748083
+43.45856,+1.57472,1263748143
+43.45868,+1.57486,1263748203
+43.45859,+1.57491,1263748264
+43.45817,+1.57466,1263748324
+43.45810,+1.57451,1263748384
+43.45825,+1.57425,1263748443
+43.45787,+1.57412,1263748503
+43.45797,+1.57400,1263748563
+43.45734,+1.57437,1263748623
+43.45727,+1.57417,1263748684
+43.45680,+1.57383,1263748744
+43.45655,+1.57346,1263748804
+43.45616,+1.57323,1263748863
+43.45607,+1.57281,1263748924
+43.45618,+1.57249,1263748984
+43.45632,+1.57180,1263749043
+43.45643,+1.57147,1263749104
+43.45642,+1.57121,1263749163
+43.45656,+1.57103,1263749223
+43.45688,+1.57108,1263749284
+43.45718,+1.57149,1263749343
+43.45751,+1.57129,1263749403
+43.45758,+1.57097,1263749464
+43.45781,+1.57091,1263749524
+43.45816,+1.57089,1263749584
+43.45825,+1.57152,1263749644
+43.45898,+1.57183,1263749704
+43.45855,+1.57211,1263749764
+43.45855,+1.57211,1263974307
+43.45855,+1.57211,1263974321
+43.45827,+1.57151,1265796556
+43.55671,+1.47006,1265804721
+43.45829,+1.57159,1265813798
+43.45841,+1.57177,1265813859
+43.45859,+1.57162,1265821167
+43.45843,+1.57182,1265821227
+43.45828,+1.57202,1265821287
+43.45841,+1.57186,1265821347
+43.45845,+1.57185,1265821407
+43.45841,+1.57170,1265821467
+43.45820,+1.57231,1265821647
+43.45847,+1.57145,1265822427
+43.45848,+1.57159,1265822487
+43.45837,+1.57185,1265822547
+43.45833,+1.57195,1265822607
+43.45842,+1.57191,1265822667
+43.45852,+1.57194,1265822727
+43.45834,+1.57178,1265822787
+43.45833,+1.57183,1265822907
+43.45830,+1.57165,1265822967
+43.45847,+1.57156,1265823027
+43.45839,+1.57180,1265823147
+43.45848,+1.57166,1265823207
+43.45844,+1.57164,1265823267
+43.45850,+1.57179,1265823327
+43.45844,+1.57171,1265823387
+43.45842,+1.57175,1265823447
+43.45839,+1.57164,1265823507
+43.45835,+1.57171,1265823627
+43.45849,+1.57172,1265823687
+43.45848,+1.57167,1265823747
+43.45825,+1.57158,1265823807
+43.45829,+1.57148,1265823867
+43.45847,+1.57162,1265823927
+43.45835,+1.57205,1265823987
+43.45840,+1.57170,1265824047
+43.45839,+1.57168,1265824107
+43.45844,+1.57194,1265824587
+43.45904,+1.57292,1265824647
+43.45869,+1.57324,1265824707
+43.45787,+1.57402,1265824767
+43.45758,+1.57456,1265825907
+43.45780,+1.57421,1265825967
+43.45797,+1.57332,1265826027
+43.45809,+1.57260,1265826087
+43.45871,+1.57155,1265826147
+43.45774,+1.57184,1265826327
+43.45882,+1.57130,1265826387
+43.45882,+1.57130,1265829037
+43.45838,+1.57177,1265829347
+43.45833,+1.57183,1265829407
+43.45868,+1.57153,1265829466
+43.45856,+1.57148,1265829526
+43.45768,+1.57256,1265829705
+43.45809,+1.57217,1265829765
+43.45839,+1.57217,1265829824
+43.45786,+1.57240,1265830126
+43.45801,+1.57231,1265830186
+43.45785,+1.57203,1265830305
+43.45825,+1.57202,1265830364
+43.45820,+1.57203,1265830424
+43.46018,+1.57122,1265830663
+43.46739,+1.57196,1265830724
+43.45843,+1.57148,1265830871
+43.45839,+1.57158,1265830931
+43.46739,+1.57196,1265830962
+43.45850,+1.57178,1265831229
+43.45868,+1.57155,1265831348
+43.45829,+1.57148,1265831895
+43.45826,+1.57183,1265831955
+43.45853,+1.57141,1265832133
+43.45856,+1.57160,1265832192
+43.45803,+1.57160,1265832372
+43.45799,+1.57186,1265832431
+43.45838,+1.57175,1265832490
+43.45845,+1.57149,1265832549
+43.45828,+1.57164,1265832608
+43.45904,+1.57192,1265832786
+43.46739,+1.57196,1265832819
+43.45857,+1.57170,1265833214
+43.45843,+1.57204,1265833273
+43.45832,+1.57195,1265833333
+43.45847,+1.57162,1265833392
+43.45833,+1.57167,1265833451
+43.45850,+1.57159,1265833511
+43.45811,+1.57178,1265833570
+43.45823,+1.57165,1265833645
+43.45833,+1.57164,1265833704
+43.45839,+1.57155,1265834061
+43.45832,+1.57151,1265834180
+43.45834,+1.57159,1265834239
+43.45822,+1.57149,1265834299
+43.45810,+1.57167,1265834358
+43.45837,+1.57151,1265834417
+43.45850,+1.57159,1265834477
+43.45839,+1.57179,1265834537
+43.45850,+1.57134,1265834596
+43.45846,+1.57162,1265834656
+43.45848,+1.57160,1265834715
+43.45820,+1.57158,1265834775
+43.45821,+1.57156,1265834834
+43.45821,+1.57144,1265834893
+43.45824,+1.57154,1265834952
+43.45828,+1.57165,1265835012
+43.45847,+1.57155,1265835071
+43.45857,+1.57173,1265835131
+43.45832,+1.57170,1265835191
+43.45772,+1.57195,1265835251
+43.45793,+1.57166,1265835310
+43.45862,+1.57178,1265835369
+43.45819,+1.57183,1265835426
+43.45819,+1.57160,1265835486
+43.45808,+1.57164,1265835546
+43.45841,+1.57173,1265835606
+43.45845,+1.57168,1265835665
+43.45834,+1.57169,1265835724
+43.45842,+1.57169,1265835784
+43.45885,+1.57232,1265835843
+43.45870,+1.57198,1265835903
+43.45833,+1.57152,1265835963
+43.45836,+1.57217,1265836022
+43.45834,+1.57175,1265836082
+43.45851,+1.57187,1265836142
+43.45843,+1.57176,1265836202
+43.45829,+1.57170,1265836262
+43.45852,+1.57170,1265836321
+43.45863,+1.57158,1265836381
